Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,LIU Sheng Shu / TAN Ning,China,110084,17,2025-11-18,—
2,Pearly TAN / THINAAH Muralitharan,Malaysia,92816,21,2025-11-18,—
3,KIM Hye Jeong / KONG Hee Yong,Korea,88825,17,2025-11-18,—
4,JIA Yi Fan / ZHANG Shu Xian,China,88700,14,2025-11-18,—
5,BAEK Ha Na / LEE So Hee,Korea,83030,15,2025-11-18,—
6,Rin IWANAGA / Kie NAKANISHI,Japan,80163,17,2025-11-18,▲1
7,Yuki FUKUSHIMA / Mayu MATSUMOTO,Japan,79840,16,2025-11-18,▼1
8,LI Yi jing / LUO Xu min,China,71540,16,2025-11-18,▲1
9,Nami MATSUYAMA / Chiharu SHIDA,Japan,69312,8,2025-11-18,▼1
10,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI,Indonesia,62464,14,2025-11-18,—
11,HSIEH Pei Shan / HUNG En-Tzu,Chinese Taipei,58772,21,2025-11-18,—
12,CHEN Qing Chen / JIA Yi Fan,China,57365,6,2025-11-18,—
13,Gabriela STOEVA / Stefani STOEVA,Bulgaria,56580,16,2025-11-18,—
14,Treesa JOLLY / GAYATRI GOPICHAND PULLELA,India,53681,11,2025-11-18,—
15,YEUNG Nga Ting / YEUNG Pui Lam,Hong Kong,52993,18,2025-11-18,—
16,HSU Yin-Hui / LIN Jhih Yun,Chinese Taipei,52160,23,2025-11-18,—
17,CHANG Ching Hui / YANG Ching Tun,Chinese Taipei,49878,22,2025-11-18,—
18,Lanny Tria MAYASARI / Siti Fadia Silva RAMADHANTI,Indonesia,48889,11,2025-11-18,—
19,JEONG Na Eun / LEE Yeon Woo,Korea,48244,13,2025-11-18,▲1
20,Benyapa AIMSAARD / Nuntakarn AIMSAARD,Thailand,47725,11,2025-11-18,▼1
