Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,KIM Won Ho / SEO Seung Jae,Korea,116605,16,2025-10-28,—
2,Aaron CHIA / SOH Wooi Yik,Malaysia,92450,22,2025-10-28,—
3,Satwiksairaj RANKIREDDY / Chirag SHETTY,India,80050,14,2025-10-28,—
4,GOH Sze Fei / Nur IZZUDDIN,Malaysia,78790,18,2025-10-28,—
5,MAN Wei Chong / TEE Kai Wun,Malaysia,76013,18,2025-10-28,—
6,Kim ASTRUP / Anders Skaarup RASMUSSEN,Denmark,75161,17,2025-10-28,▲2
7,LIANG Wei Keng / WANG Chang,China,73776,18,2025-10-28,▼1
8,Fajar ALFIAN / Muhammad Rian ARDIANTO,Indonesia,73634,12,2025-10-28,▼1
9,CHEN Bo yang / LIU Yi,China,68382,20,2025-10-28,—
10,Takuro HOKI / Yugo KOBAYASHI,Japan,68321,14,2025-10-28,—
11,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,Indonesia,65200,19,2025-10-28,—
12,Ben LANE / Sean VENDY,England,60068,15,2025-10-28,—
13,LEE Jhe-Huei / YANG Po-Hsuan,Chinese Taipei,59670,22,2025-10-28,—
14,Dechapol PUAVARANUKROH / Kittinupong KEDREN,Thailand,57722,20,2025-10-28,—
15,Leo Rolly CARNANDO / Bagas MAULANA,Indonesia,55670,16,2025-10-28,—
16,HUANG Di / LIU Yang,China,55452,19,2025-10-28,—
17,Fajar ALFIAN / Muhammad Shohibul FIKRI,Indonesia,53750,6,2025-10-28,▲8
18,Junaidi ARIF / YAP Roy King,Malaysia,52990,22,2025-10-28,▲1
19,Christo POPOV / Toma Junior POPOV,France,52687,20,2025-10-28,▼2
20,LEE Fang-Chih / LEE Fang-Jen,Chinese Taipei,52680,22,2025-10-28,▼2
