Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,JIANG Zhen Bang / WEI Ya Xin,China,100552,16,2025-10-28,—
2,FENG Yan Zhe / HUANG Dong Ping,China,99757,14,2025-10-28,—
3,Dechapol PUAVARANUKROH / Supissara PAEWSAMPRAN,Thailand,93095,22,2025-10-28,▲1
4,CHEN Tang Jie / TOH Ee Wei,Malaysia,91463,17,2025-10-28,▼1
5,GUO Xin Wa / CHEN Fang Hui,China,80820,20,2025-10-28,—
6,Thom GICQUEL / Delphine DELRUE,France,78464,17,2025-10-28,—
7,TANG Chun Man / TSE Ying Suet,Hong Kong,77584,14,2025-10-28,▲1
8,Hiroki MIDORIKAWA / Natsu SAITO,Japan,75088,20,2025-10-28,▼1
9,GOH Soon Huat / LAI Shevon Jemie,Malaysia,72628,22,2025-10-28,—
10,Jesper TOFT / Amalie MAGELUND,Denmark,63256,20,2025-10-28,—
11,Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,Indonesia,59610,17,2025-10-28,—
12,CHENG Xing / ZHANG Chi,China,57090,16,2025-10-28,—
13,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,Indonesia,55490,12,2025-10-28,—
14,Ruttanapak OUPTHONG / Jhenicha SUDJAIPRAPARAT,Thailand,55090,22,2025-10-28,—
15,DHRUV KAPILA / Tanisha CRASTO,India,54298,22,2025-10-28,—
16,YANG Po-Hsuan / HU Ling Fang,Chinese Taipei,51936,22,2025-10-28,—
17,YE Hong Wei / Nicole Gonzales CHAN,Chinese Taipei,50660,21,2025-10-28,▲1
18,Amri SYAHNAWI / Nita Violina MARWAH,Indonesia,48830,17,2025-10-28,▼1
19,HOO Pang Ron / CHENG Su Yin,Malaysia,47573,17,2025-10-28,—
20,Yuichi SHIMOGAMI / Sayaka HOBARA,Japan,46860,16,2025-10-28,—
