Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,AN Se Young,Korea,113770,15,2025-10-28,—
2,WANG Zhi Yi,China,105362,18,2025-10-28,—
3,Akane YAMAGUCHI,Japan,93464,16,2025-10-28,—
4,HAN Yue,China,91350,17,2025-10-28,—
5,CHEN Yu Fei,China,89935,16,2025-10-28,—
6,Pornpawee CHOCHUWONG,Thailand,71858,19,2025-10-28,—
7,Putri Kusuma WARDANI,Indonesia,66170,20,2025-10-28,—
8,Tomoka MIYAZAKI,Japan,63064,22,2025-10-28,—
9,Ratchanok INTANON,Thailand,61084,20,2025-10-28,—
10,SIM Yu Jin,Korea,60559,15,2025-10-28,—
11,Gregoria Mariska TUNJUNG,Indonesia,59900,12,2025-10-28,—
12,Supanida KATETHONG,Thailand,56627,15,2025-10-28,—
13,GAO Fang jie,China,56550,17,2025-10-28,▲1
14,PUSARLA V. Sindhu,India,55514,16,2025-10-28,▼1
15,Michelle LI,Canada,54600,20,2025-10-28,—
16,Busanan ONGBAMRUNGPHAN,Thailand,54290,17,2025-10-28,—
17,KIM Ga Eun,Korea,51650,12,2025-10-28,▲2
18,YEO Jia Min,Singapore,51423,15,2025-10-28,▼1
19,Mia BLICHFELDT,Denmark,49490,14,2025-10-28,▲1
20,CHIU Pin-Chian,Chinese Taipei,49007,24,2025-10-28,▼2
